Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Adventure Blend,Silk Road,600.0,,Espresso Roast,,"Fuel your day with Adventure Blend Espresso Roast. Bold, rich, and crafted for explorers. Elevate your coffee game; Shop now!",https://silkroad.coffee/products/adventure-blend-espresso-roast,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Adventure-Blend_Main.jpg?v=1689852663
Silk Road Explorer Pack - Pack of 3,Silk Road,1000.0,,,,"Delight coffee lovers with our Adventure Box coffee gift hampers. A curated pack of rich flavors, perfect for gifting. Order the sampler pack now!",https://silkroad.coffee/products/adventure-box-the-perfect-coffee-sample-pack,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Box-of-3.jpg?v=1689585090
Carbonic Maceration,Silk Road,750.0,,,,"Carbonic maceration coffee is made by fermenting ripe coffee cherries in a sealed container filled with carbon dioxide gas. This unique process encourages the cherries to release sugars, which are metabolized by yeast and bacteria to create distinctive aromatic compounds. The resulting coffee beans have a complex flavo",https://silkroad.coffee/products/carbonic-maceration,https://cdn.shopify.com/s/files/1/0728/7134/6471/files/Carbonic-Maceration_Main.jpg?v=1689852767
