Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Golden Glow,El Bueno,880.0,250g,,"– Plum, hints of caramel and Green Apple aftertaste","Single Estate, 100% Arabica Region – Karnataka Estate Name – Ratnagirti Estate Producer – Mr. Ashok Patre Varietal – Altitude – 4350 Feet Processing – Washed Arabica Tasting Notes – Plum, hints of caramel and Green Apple aftertaste",https://elbuenocoffee.com/product/golden-glow/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Golden-Glow.png
Golden Glow,El Bueno,880.0,500g,,"– Plum, hints of caramel and Green Apple aftertaste","Single Estate, 100% Arabica Region – Karnataka Estate Name – Ratnagirti Estate Producer – Mr. Ashok Patre Varietal – Altitude – 4350 Feet Processing – Washed Arabica Tasting Notes – Plum, hints of caramel and Green Apple aftertaste",https://elbuenocoffee.com/product/golden-glow/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Golden-Glow.png
Hello Monday!,El Bueno,720.0,250g,,– Sweet and citrus notes with floral hints,100% Arabica blend Tasting Notes – Sweet and citrus notes with floral hints.,https://elbuenocoffee.com/product/hello-monday/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Hello-Monday.png
Hello Monday!,El Bueno,720.0,500g,,– Sweet and citrus notes with floral hints,100% Arabica blend Tasting Notes – Sweet and citrus notes with floral hints.,https://elbuenocoffee.com/product/hello-monday/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Hello-Monday.png
Jam Session,El Bueno,880.0,250g,,"– Red apple, Honey, Floral Crispness Fermentation – HONEY PROCEESSED COFFEE WITH CONTROLLED MICROBIAL FERMENTATION AND DRIED ON RAISED BEDS FOR 28 DAYS","Single Estate, 100% Arabica Region – Baba Budangiri Estate Name – Ratnagiri Estate Block – Godown Patte Varietal – Catuai Altitude – 4250 ft Processing – Hydro Honey Process Tasting notes – Red apple, Honey, Floral Crispness Fermentation – HONEY PROCEESSED COFFEE WITH CONTROLLED MICROBIAL FERMENTATION AND DRIED ON RAISED BEDS FOR 28 DAYS",https://elbuenocoffee.com/product/jam-session/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Jam-Session.png
Jam Session,El Bueno,880.0,500g,,"– Red apple, Honey, Floral Crispness Fermentation – HONEY PROCEESSED COFFEE WITH CONTROLLED MICROBIAL FERMENTATION AND DRIED ON RAISED BEDS FOR 28 DAYS","Single Estate, 100% Arabica Region – Baba Budangiri Estate Name – Ratnagiri Estate Block – Godown Patte Varietal – Catuai Altitude – 4250 ft Processing – Hydro Honey Process Tasting notes – Red apple, Honey, Floral Crispness Fermentation – HONEY PROCEESSED COFFEE WITH CONTROLLED MICROBIAL FERMENTATION AND DRIED ON RAISED BEDS FOR 28 DAYS",https://elbuenocoffee.com/product/jam-session/,https://elbuenocoffee.com/wp-content/uploads/2025/08/Jam-Session.png
Pourin’ Plums,El Bueno,840.0,250g,,"– Citrus Zest, Ripe Plums, Mild Chocolate Fermentation – Once pulped, the coffees are fermented anaerobically for 27 hours","Purple Honey Single Estate, 100% Arabica Region – Baba Budangiri Estate Name – Gungegiri Estate Varietal – SLN 795 Altitude – 1300-1380 MASL Processing – Sucrose Fermentation/ Honey Sun-Dried Tasting notes – Citrus Zest, Ripe Plums, Mild Chocolate Fermentation – Once pulped, the coffees are fermented anaerobically for 27 hours. Post this, they are heaped initially and then slow-dried on raised beds for 20 days.",https://elbuenocoffee.com/product/pourin-plums/,https://elbuenocoffee.com/wp-content/uploads/2025/06/Pourin-Plums.png
Pourin’ Plums,El Bueno,840.0,500g,,"– Citrus Zest, Ripe Plums, Mild Chocolate Fermentation – Once pulped, the coffees are fermented anaerobically for 27 hours","Purple Honey Single Estate, 100% Arabica Region – Baba Budangiri Estate Name – Gungegiri Estate Varietal – SLN 795 Altitude – 1300-1380 MASL Processing – Sucrose Fermentation/ Honey Sun-Dried Tasting notes – Citrus Zest, Ripe Plums, Mild Chocolate Fermentation – Once pulped, the coffees are fermented anaerobically for 27 hours. Post this, they are heaped initially and then slow-dried on raised beds for 20 days.",https://elbuenocoffee.com/product/pourin-plums/,https://elbuenocoffee.com/wp-content/uploads/2025/06/Pourin-Plums.png
Sampler Pack,El Bueno,790.0,,,,This sampler pack includes 3 × 75g coffee packs (total 225g).,https://elbuenocoffee.com/product/sampler-pack,https://elbuenocoffee.com/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-19.36.12_debb59be.jpg
Sampler Pack,El Bueno,790.0,,,,This sampler pack includes 3 × 75g coffee packs (total 225g).,https://elbuenocoffee.com/product/sampler-pack/,https://elbuenocoffee.com/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-19.36.12_debb59be.jpg
Spill The Beans,El Bueno,640.0,250g,Dark Roast,– Citrusy orange and dark chocolate with notes of caramel,70-30 Blend Tasting Notes – Citrusy orange and dark chocolate with notes of caramel,https://elbuenocoffee.com/product/spill-the-beans/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Spill-the-Beans.png
Spill The Beans,El Bueno,640.0,500g,Dark Roast,– Citrusy orange and dark chocolate with notes of caramel,70-30 Blend Tasting Notes – Citrusy orange and dark chocolate with notes of caramel,https://elbuenocoffee.com/product/spill-the-beans/,https://elbuenocoffee.com/wp-content/uploads/2025/02/Spill-the-Beans.png
The Weekend,El Bueno,780.0,250g,,– Notes of milk chocolate and very soft acidity,100% Arabica blend – with Columbia Tasting Notes – Notes of milk chocolate and very soft acidity,https://elbuenocoffee.com/product/the-weekend/,https://elbuenocoffee.com/wp-content/uploads/2025/02/The-Weekend.png
The Weekend,El Bueno,780.0,500g,,– Notes of milk chocolate and very soft acidity,100% Arabica blend – with Columbia Tasting Notes – Notes of milk chocolate and very soft acidity,https://elbuenocoffee.com/product/the-weekend/,https://elbuenocoffee.com/wp-content/uploads/2025/02/The-Weekend.png
Whisk it up!,El Bueno,960.0,250g,,"– Green apple, Irish cream, and Tropical Fruits","Whiskey Barrel Aged Single Estate, 100% Arabica Region – Sakleshpur Estate Name – Harley Estate Varietal – SLN 9 Altitude – 3400ft Processing – Washed barrel aged Tasting notes – Green apple, Irish cream, and Tropical Fruits",https://elbuenocoffee.com/product/whisk-it-up/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Whisk-it-up.png
Whisk it up!,El Bueno,960.0,500g,,"– Green apple, Irish cream, and Tropical Fruits","Whiskey Barrel Aged Single Estate, 100% Arabica Region – Sakleshpur Estate Name – Harley Estate Varietal – SLN 9 Altitude – 3400ft Processing – Washed barrel aged Tasting notes – Green apple, Irish cream, and Tropical Fruits",https://elbuenocoffee.com/product/whisk-it-up/,https://elbuenocoffee.com/wp-content/uploads/2025/07/Whisk-it-up.png
