Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
ARABICA PLANTATION - AA COFFEE,Devans,1000.0,500g,Medium Roast,Medium,"Coffee plants come in two main varieties- Arabica, which grows well in higher elevations, and Robusta, which grows at lower levels.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup.  
  Tasting Notes  
  Medium roast of Arabica Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor with a combination of full body and good strength.",https://www.devans.in/products/arabica-plantation-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950
ARABICA PLANTATION -AAA - Mysore Nuggets Extra Bold,Devans,550.0,250g,Medium Roast,The magical transformation of the green beans takes place when it’s,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
  Speciality coffee of India prepared from washed Arabicas, beans are very large, uniform bluish green, with a clean polished appearance.   
  This coffee is a product of the birthplace of coffee in India - Baba Budangiri hills, nurtured under shade at an elevation of 1750 metres. Ripening slowly in the mild climate these arabica beans are handpicked and processed, one of the finest coffees in our collection.  
  Tasting Notes:  
  The magical transformation of the green beans takes place when it’s roasted - the aroma and flavours get released and turn into a sensory delight. So is this medium roasted coffee which has malty overtones with buttery smoothness, full body, medium acidity, and a striking aroma with a note of chocolate in the cup.",https://www.devans.in/products/arabica-plantation-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243
ARABICA PLANTATION -AAA - Mysore Nuggets Extra Bold,Devans,1100.0,500g,Medium Roast,The magical transformation of the green beans takes place when it’s,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
  Speciality coffee of India prepared from washed Arabicas, beans are very large, uniform bluish green, with a clean polished appearance.   
  This coffee is a product of the birthplace of coffee in India - Baba Budangiri hills, nurtured under shade at an elevation of 1750 metres. Ripening slowly in the mild climate these arabica beans are handpicked and processed, one of the finest coffees in our collection.  
  Tasting Notes:  
  The magical transformation of the green beans takes place when it’s roasted - the aroma and flavours get released and turn into a sensory delight. So is this medium roasted coffee which has malty overtones with buttery smoothness, full body, medium acidity, and a striking aroma with a note of chocolate in the cup.",https://www.devans.in/products/arabica-plantation-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243
ARABICA PLANTATION -AAA COFFEE (Dark Roast),Devans,550.0,250g,Dark Roast,"Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic","ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
 Arabica Plantation -AAA is given a longer roast for a strong brew. After roasting, the beans appear oily. This is a speciality Arabica Coffee from Bababudangiris in Chikkamagaluru. Fine bold beans of washed Arabica, screen 19 grading. 
 Tasting Notes: 
 Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic.",https://www.devans.in/products/arabica-plantation-coffee-dark-roast,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243
ARABICA PLANTATION -AAA COFFEE (Dark Roast),Devans,1100.0,500g,Dark Roast,"Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic","ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY. 
 Arabica Plantation -AAA is given a longer roast for a strong brew. After roasting, the beans appear oily. This is a speciality Arabica Coffee from Bababudangiris in Chikkamagaluru. Fine bold beans of washed Arabica, screen 19 grading. 
 Tasting Notes: 
 Dark Malty notes with a buttery smoothness, exhibits slight nutty aroma, with a medium body and is mildly acidic.",https://www.devans.in/products/arabica-plantation-coffee-dark-roast,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410120157_1.jpg?v=1736165243
ASSAM CLASSIC TEA (Granular),Devans,250.0,250g,,"This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor.","Assam CTC Classic Tea   
 Black Tea Summer Harvest 2025.  
 The second flush Assam CTC is regarded as the best CTC tea in the world.    
  CTC means the tea has been processed in a "" Cut, Tear, and Curl"" machine. Tea leaves are shoved in the top, totally destroyed and then reformed into pellets. These pellets turn brown (oxidize ) very quickly. This makes for the super-brisk tea.  
 This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor. It's best when boiled with milk.",https://www.devans.in/products/assam-classic-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/IMG_2546.jpg?v=1624261576
ASSAM CLASSIC TEA (Granular),Devans,500.0,500g,,"This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor.","Assam CTC Classic Tea   
 Black Tea Summer Harvest 2025.  
 The second flush Assam CTC is regarded as the best CTC tea in the world.    
  CTC means the tea has been processed in a "" Cut, Tear, and Curl"" machine. Tea leaves are shoved in the top, totally destroyed and then reformed into pellets. These pellets turn brown (oxidize ) very quickly. This makes for the super-brisk tea.  
 This tea is CTC Assam, only for those who enjoy a rich, dark liquor and malty flavor. It's best when boiled with milk.",https://www.devans.in/products/assam-classic-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/IMG_2546.jpg?v=1624261576
ASSAM GREEN TEA (Whole Leaf Tea),Devans,200.0,100g,Light Roast,a classic vegetal green tea,"The only tea in the world to have Elephant friendly certification, the Assam Whole Leaf Green Tea spells flavors of a classic vegetal green tea. The liquor is full bodied, with notes of vegetal and wood from the very first sip.  
   Light, delicate and subtle, a cup of green tea is a very pleasant alternative to a regular black tea. This pale olive cup is light and layered, packed with antioxidants with fresh, floral, flavour making it a delicious and refreshing choice for a drink.",https://www.devans.in/products/green-assam-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/027.jpg?v=1622198393
ASSAM GREEN TEA (Whole Leaf Tea),Devans,500.0,250g,Light Roast,a classic vegetal green tea,"The only tea in the world to have Elephant friendly certification, the Assam Whole Leaf Green Tea spells flavors of a classic vegetal green tea. The liquor is full bodied, with notes of vegetal and wood from the very first sip.  
   Light, delicate and subtle, a cup of green tea is a very pleasant alternative to a regular black tea. This pale olive cup is light and layered, packed with antioxidants with fresh, floral, flavour making it a delicious and refreshing choice for a drink.",https://www.devans.in/products/green-assam-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/027.jpg?v=1622198393
ASSAM LEAF TEA ( Whole Leaf Tea FOP Grade),Devans,200.0,100g,,"This fresh summer tea has good body, briskness, malty flavour, and strong, bright colour in the cup.","The Bhramaputra valley in Assam in the northeastern region of India, is known for its tea gardens of the oldest varieties. Made from the delicate leaves of the Assam tea bush, also known as English breakfast tea, the leaves are tightly-rolled, with blackish brown hues, and a few olive green and brown flakes. This fresh summer tea has good body, briskness, malty flavour, and strong, bright colour in the cup. The liquor has a rich mouthfeel, smooth texture with a refreshing astringency.",https://www.devans.in/products/assam-leaf-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/022.jpg?v=1622198522
ASSAM LEAF TEA ( Whole Leaf Tea FOP Grade),Devans,500.0,250g,,"This fresh summer tea has good body, briskness, malty flavour, and strong, bright colour in the cup.","The Bhramaputra valley in Assam in the northeastern region of India, is known for its tea gardens of the oldest varieties. Made from the delicate leaves of the Assam tea bush, also known as English breakfast tea, the leaves are tightly-rolled, with blackish brown hues, and a few olive green and brown flakes. This fresh summer tea has good body, briskness, malty flavour, and strong, bright colour in the cup. The liquor has a rich mouthfeel, smooth texture with a refreshing astringency.",https://www.devans.in/products/assam-leaf-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/022.jpg?v=1622198522
Atlasware Steel Coffee Maker  (1 cup),Devans,1100.0,,,,"Brand: Atlasware , Capacity: 1 cup, colour: Steel  
  Moka Pot coffee maker is made of high quality stainless steel. It uses fine ground coffee powder and gives freshly brewed coffee in just 5-7 minutes. The aromatic coffee decoction can be enjoyed black or with milk.  
   Can be used on open flame / hot plate / induction stoves.   
   This coffee maker is good for 1 cup.",https://www.devans.in/products/atlasware-steel-coffee-maker,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/img1-850x850.jpg?v=1619419079
Atlasware Steel Coffee Maker (2 cup),Devans,1200.0,,,,"Brand: Atlasware , Capacity: 2 cup, colour: Stainless Steel   
   Moka Pot coffee maker is made of high quality stainless steel. It uses fine ground coffee powder and gives freshly brewed coffee in just 5-7 minutes.  Can be used on open flame / hot plate / induction stoves.  The aromatic coffee decoction can be enjoyed black or with milk.   
  This coffee maker is good for 2 cups.",https://www.devans.in/products/atlasware-steel-coffee-maker-2-cup,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/img1-850x850_f13f782f-c25c-46b0-86ff-18aa614ce556.jpg?v=1619419082
