Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Vienna - Dark Roast,Savorworks,630.0,250g,Dark Roast,"Roasted Hazelnut, Dark Chocolate, Raisin",Riverdale Estate,Mixed Fruit Fermented Naturals,"The darkest roast from us , this blend has coffee beans from Karnataka and Tamil Nadu, has high body, low acidity, and is a excellent choice for people who want to have  a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk.  
  The beans have been roasted to the higher side of medium to bring out the notes of roasted hazelnut, dark chocolate, and Raisin. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   
   Facts:    
   Origin:   Riverdale Estate   Altitude:   1450 MASL    Varietal :   SLN-9 &amp; SLN-795     Process:   Mixed Fruit Fermented Naturals   
    Feels:    Tasting Notes:  Roasted Hazelnut, Dark Chocolate, Raisin  Acidity:  Low  Body:   High  Aftertaste:   Long  
   Roast Rite Color (Whole Bean):  57  Roast Rite Color (Ground):  65  Roast Level:  Dark  
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/vienna-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Web_products_3.png?v=1727790171,Coffee
Vienna - Dark Roast,Savorworks,2100.0,1kg,Dark Roast,"Roasted Hazelnut, Dark Chocolate, Raisin",Riverdale Estate,Mixed Fruit Fermented Naturals,"The darkest roast from us , this blend has coffee beans from Karnataka and Tamil Nadu, has high body, low acidity, and is a excellent choice for people who want to have  a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk.  
  The beans have been roasted to the higher side of medium to bring out the notes of roasted hazelnut, dark chocolate, and Raisin. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   
   Facts:    
   Origin:   Riverdale Estate   Altitude:   1450 MASL    Varietal :   SLN-9 &amp; SLN-795     Process:   Mixed Fruit Fermented Naturals   
    Feels:    Tasting Notes:  Roasted Hazelnut, Dark Chocolate, Raisin  Acidity:  Low  Body:   High  Aftertaste:   Long  
   Roast Rite Color (Whole Bean):  57  Roast Rite Color (Ground):  65  Roast Level:  Dark  
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/vienna-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Web_products_3.png?v=1727790171,Coffee
Riverdale - Medium to Dark Roast,Savorworks,630.0,250g,Dark Roast,"Fig ,Nougat, Toffee, Dark Chocolate",Riverdale Estate,Washed,"We are thrilled to announce that the new harvest of Riverdale coffee beans has finally arrived, and it's time to savor the rich flavors that await you. Riverdale Estate holds a special place in our hearts as it marks the very beginning of Savorworks. It is where our journey began, and it's an honor to bring you the fruits of our labor from this remarkable farm. The washed coffee from Riverdale Estate is where we started the Savorworks journey. 
  The beans have been roasted to the higher side of medium to bring out the notes of Nougat, Fig, Toffee, and Dark Chocolate. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   Feels:    Tasting Notes:  Fig ,Nougat, Toffee, Dark Chocolate  Acidity:  Citric  Body:  Heavy  Aftertaste:  Syrupy   
   Facts:    
   Roast Rite Color (Whole Bean):  59  Roast Rite Color (Ground):  66  Roast Level:  Medium Dark  
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/riverdale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Riverdale2025.png?v=1746438636,Coffee
Riverdale - Medium to Dark Roast,Savorworks,2100.0,1kg,Dark Roast,"Fig ,Nougat, Toffee, Dark Chocolate",Riverdale Estate,Washed,"We are thrilled to announce that the new harvest of Riverdale coffee beans has finally arrived, and it's time to savor the rich flavors that await you. Riverdale Estate holds a special place in our hearts as it marks the very beginning of Savorworks. It is where our journey began, and it's an honor to bring you the fruits of our labor from this remarkable farm. The washed coffee from Riverdale Estate is where we started the Savorworks journey. 
  The beans have been roasted to the higher side of medium to bring out the notes of Nougat, Fig, Toffee, and Dark Chocolate. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   Feels:    Tasting Notes:  Fig ,Nougat, Toffee, Dark Chocolate  Acidity:  Citric  Body:  Heavy  Aftertaste:  Syrupy   
   Facts:    
   Roast Rite Color (Whole Bean):  59  Roast Rite Color (Ground):  66  Roast Level:  Medium Dark  
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/riverdale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Riverdale2025.png?v=1746438636,Coffee
Boss's Wife - House Blend,Savorworks,630.0,250g,Medium Roast,"Peach, Jaggery",Ratnagiri Estate,Washed,"Introducing Savorworks's House Blend: crafted with love, humor, and admiration for the women who keep everything running smoothly and beautifully impressive.  
 It all started with a charming moment when the founders were dating, one asked, “If you were a coffee, what would you be?”. She said, “An espresso because it’s sweet, blends effortlessly with everyone."" 
 Inspired by her beautiful answer and appreciating the woman of the house, this flagship blend has been everyone’s favorite since 2020. Crafted to charm the sensory journey of rich, complex, sweet, and versatile. Whether you prefer a strong, flavorful black coffee or a creamy, bold, and balanced latte that’s never overshadowed by the milk and leaving a long-lasting aftertaste. It’s the perfect specialty coffee for every occasion and method.  
 Taste Savorworks specialty coffee blend and celebrate the incredible women who make every house and organization extraordinary. Named after the true boss (Boss's Wife), the woman who makes everything just right. This is a toast to women out there. 
   
  Blend:  Washed and Anaerobic Black Honey 
  Estate:  Ratnagiri Estate &amp; Riverdale Estate 
  Tasting Notes : Peach, Jaggery, Roasted Almond, Dark Chocolate 
    Roast Level : Medium 
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/bosss-wife-house-blend,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/BossWife2025.png?v=1746436071,Coffee
Boss's Wife - House Blend,Savorworks,2100.0,1kg,Medium Roast,"Peach, Jaggery",Ratnagiri Estate,Washed,"Introducing Savorworks's House Blend: crafted with love, humor, and admiration for the women who keep everything running smoothly and beautifully impressive.  
 It all started with a charming moment when the founders were dating, one asked, “If you were a coffee, what would you be?”. She said, “An espresso because it’s sweet, blends effortlessly with everyone."" 
 Inspired by her beautiful answer and appreciating the woman of the house, this flagship blend has been everyone’s favorite since 2020. Crafted to charm the sensory journey of rich, complex, sweet, and versatile. Whether you prefer a strong, flavorful black coffee or a creamy, bold, and balanced latte that’s never overshadowed by the milk and leaving a long-lasting aftertaste. It’s the perfect specialty coffee for every occasion and method.  
 Taste Savorworks specialty coffee blend and celebrate the incredible women who make every house and organization extraordinary. Named after the true boss (Boss's Wife), the woman who makes everything just right. This is a toast to women out there. 
   
  Blend:  Washed and Anaerobic Black Honey 
  Estate:  Ratnagiri Estate &amp; Riverdale Estate 
  Tasting Notes : Peach, Jaggery, Roasted Almond, Dark Chocolate 
    Roast Level : Medium 
  FREE SHIPPING PAN India on ALL Coffee.",https://www.savorworksroasters.com/products/bosss-wife-house-blend,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/BossWife2025.png?v=1746436071,Coffee
Coffee Drip Kit - Nutty & Chocolaty,Savorworks,375.0,,Medium-Dark Roast,Say goodbye to bitterness and embrace a delightful coffee experience that highlights nutty undertones and luscious,Sourced from the esteemed Riverdale Estate,Natural,"Introducing the Savorworks Coffee Drip Kit —expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights nutty undertones and luscious chocolatey notes, all without the need for sugar. For those who prefer a creamier texture, it’s also delightful with a pour of milk. 
 This innovative drip kit features specialty Arabica coffee sourced from the renowned Riverdale Estate, roasted and ground to perfection. Enjoy the same remarkable quality as manual pour-over brewing, but with added convenience—no kettles, thermometers, grinders, or scales required. Simply unfold the filter, pour hot water, and savor a beautifully classic black coffee in just a few minutes. 
 Features: 
 
 
 Premium Ingredients:    100% Specialty Arabica Coffee, nitrogen-flushed to lock in freshness. 
 
 Origin:    Sourced from the esteemed Riverdale Estate. 
 
 Roast Profile:    Medium dark roast for a rich, robust flavor with nutty undertones and luscious chocolatey notes. 
 
 Versatile Enjoyment:    Perfect as a black coffee or with a splash of milk for added creaminess. 
 
 Convenient Packaging:    Each kit includes 5 individual 12g servings (60g total), perfect for on-the-go brewing. 
 
 Storage Tips:    Preserve freshness by storing in a cool, dry, and dark place. 
 
 Unlock the world of flavorful black coffee with the Savorworks Coffee Drip Kit—your gateway to an enjoyable and rich coffee journey wherever life takes you. Perfect for any setting, this kit ensures that you can appreciate the craft of coffee making effortlessly. Enjoy your coffee, your way!",https://www.savorworksroasters.com/products/coffee-drip-kit-nutty-chocolaty-5-sachets,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/PNGs_6.png?v=1780393840,Coffee
Coffee Drip Kit - Fruity and Well Balanced,Savorworks,375.0,,Medium Roast,Say goodbye to bitterness and embrace a delightful coffee experience that highlights fruity nuances and rich aromas,Sourced from the prestigious Ratnagiri Estate,Natural,"Introducing the Savorworks Coffee Drip Kit —expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights fruity nuances and rich aromas, all without the need for sugar. 
 This innovative drip kit features specialty Arabica coffee sourced from the esteemed Ratnagiri Estate, roasted and ground to perfection. Enjoy the same remarkable quality as manual pour-over brewing, but with added convenience—no kettles, thermometers, grinders, or scales required. Simply unfold the filter, pour hot water, and savor a beautifully balanced cup of coffee in just a few minutes. 
 Features: 
 
 
 Premium Ingredients:    100% Specialty Arabica Coffee, nitrogen-flushed to lock in freshness. 
 
 Origin:    Sourced from the prestigious Ratnagiri Estate. 
 
 Roast Profile:    Medium roast for a balanced and versatile taste. 
 
 Convenient Packaging:    Each kit includes 5 individual 12g servings (60g total), perfect for on-the-go brewing. 
 
 Storage Tips:    Preserve freshness by storing in a cool, dry, and dark place. 
 
 Unlock the world of flavorful black coffee with the Savorworks Coffee Drip Kit—your gateway to an enjoyable and rich coffee journey wherever life takes you. Perfect for any setting, this kit ensures that you can appreciate the craft of coffee making effortlessly. Enjoy your coffee, your way!",https://www.savorworksroasters.com/products/coffee-drip-kit-fruity-and-well-balanced,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/PNGs_5.png?v=1780393840,Coffee
