Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Jodhpur Jewel,First Crack Coffee,,,,"A rare fermentation that heightens brightness and clarity, revealing earthy whispers of cinnamon and clove.","A rare fermentation that heightens brightness and clarity, revealing earthy whispers of cinnamon and clove. With a candy-like sweetness and nutty mouthfeel, this cup is as unique as it is inviting.",https://firstcrackcoffeeroasters.com/products/jodhpur-jewel,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/JodhpurJewel.png?v=1757933003
Linea Mini,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/linea-mini,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/LineaMini.png?v=1758181721
Linea PB,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/linea-pb,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/LineaPB.png?v=1758131215
Mahlkonig,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/mahlkonig,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/MahlkonigE65S.png?v=1758182038
Menu Creation,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/menu-creation,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/MenuCreation_7ca71a4b-1ef3-41e4-b463-491f5b71b5f1.png?v=1758184284
Mizudashi cold brew maker 1000 ml,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/mizudashi-cold-brew-maker-1000-ml,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Mizudashicoldbrewmaker1000ml.png?v=1759472121
Moka Pot 2 cup,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/moka-pot-2-cup,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Moka_Pot_2_cup.png?v=1759471659
Moka pot 4 cup,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/moka-pot-4-cup,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Mokapot4cup.png?v=1759471918
Nectar,First Crack Coffee,,,,"cherry, blood orange, and golden honey","Dive into a cup of pure indulgence with Nectar — a honey-sundried Arabica bursting with vibrant notes of cherry, blood orange, and golden honey. Naturally sweet and elegantly bright, this luxurious blend promises a refreshing coffee experience. Perfect for those who crave a fruity, smooth profile in every delicious sip.",https://firstcrackcoffeeroasters.com/products/nectar,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Nectar.png?v=1757931895
Nectar 2.0,First Crack Coffee,,,,"Dripping with honeyed sweetness, crisp apple brightness, and lush stone fruit depth, this cup is pure indulgence.","Dripping with honeyed sweetness, crisp apple brightness, and lush stone fruit depth, this cup is pure indulgence. Silky-smooth with a 10/10 body, it’s a coffee that lingers long after the last sip.",https://firstcrackcoffeeroasters.com/products/nectar-2-0,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/Nectar2.0_45d3a8a4-5595-4a87-b6d3-6739c11372af.png?v=1757931934
Pulp sundried,First Crack Coffee,,,,"Ratnagiri means Pearl Mountains because of dense silver oak trees that gives a silvery hue to the hills and because of unique postioning the producers grows some of the best specialty coffee with fruit, floral and aromatic experience.","Ratnagiri means Pearl Mountains because of dense silver oak trees that gives a silvery hue to the hills and because of unique postioning the producers grows some of the best specialty coffee with fruit, floral and aromatic experience.",https://firstcrackcoffeeroasters.com/products/pulp-sundried,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/PulpSundried.png?v=1757933174
Rancilio Classe 5,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/rancilio-classe-7,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RancilioClasse5.png?v=1758181785
Rancilio Classe 7,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/rancilio-classe-8,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RancilioClasse7.png?v=1758181868
Ratnagiri Gems,First Crack Coffee,,,,,"Microlot masterpiece showcasing finest quality of Indian Specialty from Ratnagiri estate with a beautiful balance of acidity, body and flavours.",https://firstcrackcoffeeroasters.com/products/ratnagiri-gems,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RatnagiriGems.png?v=1757933095
Ratnagiri YB Naturals,First Crack Coffee,1400.0,,,The specialty coffee is processed with yeast and bacteria in anaerobic fermentation to develop unique flavours and highlight the fruity floral characteristics of the coffee.,"The specialty coffee is processed with yeast and bacteria in anaerobic fermentation to develop unique flavours and highlight the fruity floral characteristics of the coffee. Recommended brewing methods are v60, aeropress and kalita.",https://firstcrackcoffeeroasters.com/products/ratnagiri-yb-naturals,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/DSC_2881.jpg?v=1768545305
Recipe Development,First Crack Coffee,,,,,nan,https://firstcrackcoffeeroasters.com/products/recipe-development,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RecipeDevelopment.png?v=1758184493
Red Velvet,First Crack Coffee,,,,,"Slow-crafted under the Western Ghats sun, this Arabica carries a natural sweetness and heady aromatics. Bold yet elegant, it’s a true sunshine coffee—perfect for a bright pour-over or a lively Aeropress brew.",https://firstcrackcoffeeroasters.com/products/red-forest,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/RedVelvet.png?v=1757931565
Rum Barrel Aged Microlot,First Crack Coffee,,,,,"This coffee masterfully blends the character of specialty microlot coffee with the intense, bold undertones of rum. The brewed cup is a reflection of chivalrous desire - delivering a sensational burst of layered flavours that captivates the palate. Recommended brewing methods are pour-over for overall aromatic experience and cold brews for slow sipping and bold mouthfeel.",https://firstcrackcoffeeroasters.com/products/rum-barrel-aged-microlot,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/D22D5937-D0A9-4B50-AF84-A82511C1BE96_1_201_a.jpg?v=1768205075
Whiskey Barrel Aged,First Crack Coffee,,,,,"Bold and sweet coffee, a unique trend where you try to bring the two most loved beverage flavours merged into one, specialty arabica fermented in whiskey barrels to have smooth sweet and funky cup of coffee",https://firstcrackcoffeeroasters.com/products/whiskey-barrel-aged,https://cdn.shopify.com/s/files/1/0719/3958/8264/files/WhiskeyBarrelAged.png?v=1757933233
