Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
100% Specialty Arabica,NinetyTwo,650.0,,,"caramel, butterscotch",Coorg,"for a cleaner, more layered cup","Smooth, naturally sweet Arabica with notes of caramel, butterscotch, roasted nuts and a bright plum-like finish.  
  Grown in Coorg and finished with an anaerobic red-honey process for a cleaner, more layered cup.",https://ninetytwobrew.com/products/100-specialty-arabica,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset10marketing_1.png?v=1761587412,Coffee
100% Specialty Excelsa,NinetyTwo,799.0,,,,,"for a complex, fruit forward cup","A rare, resilient bean grown in select South Indian microclimates, hand picked and anaerobically processed for a complex, fruit forward cup. Expect a bold brew with notes of figs, grapes and almonds.",https://ninetytwobrew.com/products/100-specialty-excelsa,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset_12marketing_1.png?v=1761831986,Coffee
100% Specialty Robusta,NinetyTwo,600.0,,,,Coorg,Natural,"A bold Peridinia grown at 800 m in Coorg’s fertile terrain, absorbing the richness from wild fig, silver oak and native shrubs. Expect a naturally intense, high caffeine brew with juicy stone fruit notes.",https://ninetytwobrew.com/products/100-specialty-robusta,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset_11marketing_1.png?v=1761831984,Coffee
NinetyTwo Pocket Pour,NinetyTwo,580.0,,,,,,"Our single-serve drip bags let you enjoy the full NinetyTwo experience wherever you are. Just add hot water to unlock bold flavour, rich aroma and the quiet ritual of a truly balanced brew.",https://ninetytwobrew.com/products/ninetytwo-pocket-pour,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Untitleddesign_16.png?v=1764958360,Coffee
