Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
After Hours Cold Brew,Anecdote Coffee Roasters,630.0,,,"We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste",,Washed and Honey Sundried,"Small batch. House blend. Crafted for slow steeping. Process: Washed and Honey SundriedAltitude: 1100-1200 MASLVarietal: SLN 795Roast Level: MediumTaste Profile: Smooth and Bold Suggested Brew Recipe:	Brew with room temperature water	Steep cold for 18–24 hours	Pour it over ice and enjoy! 100% Arabica | 100g and 200g Indicative flavour notes: We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste.  PS: Don't forget to turn the pack around and 'Have a Whiff'",https://www.anecdoteroasters.com/product-page/after-hours-cold-brew,"https://static.wixstatic.com/media/6c8a83_bef67539a8ef46e095a1e29017cb693e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Anecdote Samplers,Anecdote Coffee Roasters,550.0,,Medium Roast,"We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste",,,"Discover all our coffees with our Sampler Packs, designed for those who want to explore our range but aren’t sure where to begin. Whether you prefer whole beans or ground coffee, this Box of 3 samples helps you find your perfect match.Each box includes a sample pack of 60g of all our different roasts, giving you just enough of each to savour the flavours and decide which one speaks to your taste. 1x60g Afterglow at Ginimao | Medium Roast | Best consumed black or with milk 1x60g Dawn at Yashwanth | Medium Roast | Best consumed black or with milk 1x60g Eventide at Balur | Medium Roast | Best consumed black or with milk Indicative flavour notes: We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste PS: Don't forget to turn the pack around and 'Have a Whiff'",https://www.anecdoteroasters.com/product-page/anecdote-samplers,"https://static.wixstatic.com/media/6c8a83_54c41e255c0748c893c9359d139dfab9~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Afterglow at Ginimao,Anecdote Coffee Roasters,690.0,,Filter Roast,"We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste",Bababudan Giri,Washed,"Nestled in the legendary Bababudangiri region, Ginimao Estate has been growing Arabica of exceptional quality since 1903. Situated in the rich biodiversity of the outer areas of Bhadra Tiger Reserve, this farm balances tradition and innovation. This washed coffee carries the mark of place and precision, all in harmony with nature. Process: WashedAltitude: 1125 MASLVarietal: SLN 795 Roast Profile: Nutty and SmoothEspresso Roast: Can be consumed black or with milk. (Purely our preference)It also doubles as a beautiful filter roast for those who prefer nutty and cacao profiles. Net Weight: 200g | 100% Arabica Indicative flavour notes: We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste. Rest it for at least a week from the roast date. PS: Don't forget to turn the pack around and 'Have a Whiff'",https://www.anecdoteroasters.com/product-page/afterglow-at-ginimao,"https://static.wixstatic.com/media/6c8a83_9e831062198342a6a29fc8249e88c7b3~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Dawn at Yashwanth,Anecdote Coffee Roasters,630.0,,Omni-Roast,"Since, we all have different taste profiles, we'd love for you to try and tell us what you taste","Manikyadhara Hills, Chikamagalur",Honey Sundried,"Exclusively cultivating SLN 9 and SLN 795 Arabicas, Yashwanth Estate is a vibrant estate adorned with jungle trees that comes alive with the calls of exotic birds. Region: Manikyadhara Hills, ChikamagalurProcess: Honey Sundried                                                          Altitude: 4000 FT. ASLVarietal: SLN 795 Roast Type: MediumTaste Profile: Spiced and ComplexOmniroast: Can be consumed black or with milk Net Weight: 200g  |  100% Arabica Indicative flavour notes: Since, we all have different taste profiles, we'd love for you to try and tell us what you taste. Rest it for at least 10+ days from the roast date. PS: Don't forget to turn the pack around and 'Have a Whiff'",https://www.anecdoteroasters.com/product-page/dawn-at-yashwanth,"https://static.wixstatic.com/media/6c8a83_02db3eff585c4dc08e1db1473d0b0d00~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
Eventide at Balur,Anecdote Coffee Roasters,630.0,,Omni-Roast,"Since, we all have different taste profiles, we'd love for you to try and tell us what you taste","Mudigere, Chikamagalur",Washed,"Founded in the 1840s by three Englishmen, Balur Estate is now run by fourth-generation planters. The coffee is shade-grown under native trees, a unique Indian method that preserves the ecosystem and biodiversity. Region: Mudigere, Chikamagalur Process: Washed                                                           Altitude: 3500 FT. ASLVarietal: SLN 795                                                                         Roast Type: MediumTaste Profile: Cacao and BoldOmniroast: Best consumed black or with milk Net Weight: 200g     |     100% Arabica Indicative flavour notes: Since, we all have different taste profiles, we'd love for you to try and tell us what you taste. Rest it for at least a week from the roast date. PS: Don't forget to turn the pack around and 'Have a Whiff'",https://www.anecdoteroasters.com/product-page/eventide-at-balur,"https://static.wixstatic.com/media/6c8a83_df3a17e19673440a88c158f61c4c9d07~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Events
Single Pour Drip Bags,Anecdote Coffee Roasters,370.0,,,"We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste",,,"For us, it’s all about sharing our roasts with you without the need for any equipments or fuss. Drip bags make it easier than ever-perfect for anyone craving pure flavour and convenience, or for those who need their coffee on-the-go. Just follow the below steps to brew one satisfying cup at a time: Step 1: Tear along the perforation. Step 2: Pull the flaps out and hang onto the cup. Step 3: Boil 180ml of water. Rest boiling water for about 1 min before pouring. Pour 30ml of hot water to soak the coffee and let it bloom for 30s. Slowly pour another 150ml. Step 4: Let it rest until 2 mins before removing the bag. Qty: 11g per bag / 6 drip bags in a pack Indicative flavour notes: We can’t tell you what you’ll taste because every palate is different. Brew it, sip it, and tell us what you taste.",https://www.anecdoteroasters.com/product-page/single-pour-drip-bags,"https://static.wixstatic.com/media/6c8a83_78c926740f27403daff47c2a28b68f28~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",Coffee
