Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
Cold Brew Bags - Left Hook,Coffee Mechanics,500.0,Strong - Set of 5,Dark Roast,Burnt Caramel &amp; Vanilla Set of 5 brew bags Each Brew Bag makes 3-5 cups of coffee concentrate No mess,,,"Left Hook  
  An absolute punch for the dark roast lover! Darkest roast amoung our selection. A rich roast of high grown coffee  
   Strong   
 French Roast  
  Tasting Notes: Burnt Caramel &amp; Vanilla  
 Set of 5 brew bags 
 Each Brew Bag makes 3-5 cups of coffee concentrate 
 No mess cold brew!  
 Dread the mess and the inconsistency caused by filtration? Here is our fool proof solution for 100% Delicious Cold Brew! 
 Watch video below to know how you can brew with the  Cold Brew Bags",https://www.coffeemechanics.co.in/products/cold-brew-bags-left-hook,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/LeftHook_ColdBrew.png?v=1594910305,Coffee
Dark Knight,Coffee Mechanics,550.0,250g,Vienna Roast,"Cocoa Nibs, Caramel Sauce with Hints of Floral",Chikkamagaluru,,"Region:   Chikkamagaluru  
  Elevation:   3500 ft asl  
  Roast Type:   Vienna Roast  
  Tasting Notes:   Cocoa Nibs, Caramel Sauce with Hints of Floral",https://www.coffeemechanics.co.in/products/dark-knight,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/ComingSoon_3.png?v=1594910300,Coffee
Dark Knight,Coffee Mechanics,2000.0,1kg,Vienna Roast,"Cocoa Nibs, Caramel Sauce with Hints of Floral",Chikkamagaluru,,"Region:   Chikkamagaluru  
  Elevation:   3500 ft asl  
  Roast Type:   Vienna Roast  
  Tasting Notes:   Cocoa Nibs, Caramel Sauce with Hints of Floral",https://www.coffeemechanics.co.in/products/dark-knight,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/ComingSoon_3.png?v=1594910300,Coffee
Drip To-Go - Cherry Pick,Coffee Mechanics,550.0,Fruity -Set of 10,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/copy-of-drip-to-go-cherry-pick,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_2.png?v=1594910307,Coffee
Drip To-Go - Cherry Pick,Coffee Mechanics,1500.0,Fruity Set of 30,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/copy-of-drip-to-go-cherry-pick,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_2.png?v=1594910307,Coffee
Drip To-Go - Inch Perfect,Coffee Mechanics,550.0,Classic - Set of 10,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/  Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules yet appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/drip-to-go,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_1.png?v=1594910296,Coffee
Drip To-Go - Inch Perfect,Coffee Mechanics,1500.0,Classic - Set of 30,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/  Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules yet appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/drip-to-go,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_1.png?v=1594910296,Coffee
Drip To-Go-Left Hook,Coffee Mechanics,550.0,Strong-Set of 10,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/drip-to-go-left-hook,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_1_bd9207ba-07a9-4417-aead-9193e6329911.png?v=1594910308,Coffee
Drip To-Go-Left Hook,Coffee Mechanics,1500.0,Strong-Set of 30,,,,,"Easy to Brew single serve coffee packs 
  Available in   
  Set of 10 Drip Bags/Set of 30 Drip Bags  
 Drip To-Go is a solution to make superior quality coffee effortless and accessible for those with busy schedules but appreciate the finer nuances in coffee. Ideal for coffee at work or while on your travel or trek. All you need is a mug &amp; hot water and you are ready To-Go!",https://www.coffeemechanics.co.in/products/drip-to-go-left-hook,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Facebook_Product_600x600_1_bd9207ba-07a9-4417-aead-9193e6329911.png?v=1594910308,Coffee
Foccacia - Pack of 2 (300g),Coffee Mechanics,180.0,,,,,,"Olive oil-rich, airy, and herb-studded. A classic Italian bake, great as is or dipped.",https://www.coffeemechanics.co.in/products/foccacia,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/1_e9acd98b-d8e1-4472-ba80-69a7d1d0af90.png?v=1757660381,Coffee
Gourmet Crew & Brew Box,Coffee Mechanics,1899.0,,,,,,"A flavour-packed curation for the crew that appreciates good coffee, great snacks, and even better company. 
  What’s Inside:  
 
 
  Classic Granola  (Long pouch) – Oat-forward, mildly sweet, with seeds &amp; fruit 
 
 
  Chilli Caramel Cashews  – Spiced, glazed &amp; slow-roasted 
 
 
  Pistachio Biscotti  – Crunchy, nutty, elegant 
 
 
  Butter Cookies  – Buttery, golden, melt-in-mouth 
 
 
  Single Estate Coffee (200g)  – Shade-grown, small-batch roasted 
 
 
 All packed in our signature  Coffee Mechanics Cherry Red Gift Box  
 ✅ Vegetarian-friendly ✅ Clean-label ingredients ✅ Packed fresh 
 Perfect for team gifting, festive moments, or anyone who loves a thoughtful, well-balanced indulgence.",https://www.coffeemechanics.co.in/products/gourmet-crew-brew,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/3.svg?v=1759755987,Coffee
House Blend,Coffee Mechanics,550.0,250g,,"Bitter Chocolate, Sweet Cinnamon with Hints of Vanilla",,,"It was a battle between, the Sweet and the Bold. We couldn't settle for less of either. So, we had to strike a balance! 
 This one is a winner! Sweet as caramel but bold yet beautiful. 
 You drink your coffee black or prefer with milk once in a while, this one is versatile! 
  Roast Type:   American Roast  
  Tasting Notes:   Bitter Chocolate, Sweet Cinnamon with Hints of Vanilla",https://www.coffeemechanics.co.in/products/house-blend,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/1.png?v=1594910292,Coffee
House Blend,Coffee Mechanics,2000.0,1kg,,"Bitter Chocolate, Sweet Cinnamon with Hints of Vanilla",,,"It was a battle between, the Sweet and the Bold. We couldn't settle for less of either. So, we had to strike a balance! 
 This one is a winner! Sweet as caramel but bold yet beautiful. 
 You drink your coffee black or prefer with milk once in a while, this one is versatile! 
  Roast Type:   American Roast  
  Tasting Notes:   Bitter Chocolate, Sweet Cinnamon with Hints of Vanilla",https://www.coffeemechanics.co.in/products/house-blend,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/1.png?v=1594910292,Coffee
Left Hook,Coffee Mechanics,550.0,250g,French Roast,Burnt Caramel &amp; Vanilla,Chikkamagaluru,,"Left Hook  
  For the one who loves the coffee with a ""punch"",. The darkest roast on our selection! A high grown coffee roasted for rich caramel extract.   
  Region:   Chikkamagaluru  
  Elevation:   3800 ft - 4200 ft asl  
  Roast Type:   French Roast  
  Tasting Notes:  Burnt Caramel &amp; Vanilla",https://www.coffeemechanics.co.in/products/left-hook,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Untitleddesign_5.png?v=1594910306,Coffee
Left Hook,Coffee Mechanics,2000.0,1kg,French Roast,Burnt Caramel &amp; Vanilla,Chikkamagaluru,,"Left Hook  
  For the one who loves the coffee with a ""punch"",. The darkest roast on our selection! A high grown coffee roasted for rich caramel extract.   
  Region:   Chikkamagaluru  
  Elevation:   3800 ft - 4200 ft asl  
  Roast Type:   French Roast  
  Tasting Notes:  Burnt Caramel &amp; Vanilla",https://www.coffeemechanics.co.in/products/left-hook,https://cdn.shopify.com/s/files/1/0368/6740/8003/products/Untitleddesign_5.png?v=1594910306,Coffee
Salted Caramel with Nut Praline,Coffee Mechanics,2400.0,,,"1 kg, Chocolate Sponge, Chocolate Mousse Sponge, Caramel Nut Praline Layer Cake",,,"1 kg, Chocolate Sponge, Chocolate Mousse Sponge, Caramel Nut Praline Layer Cake",https://www.coffeemechanics.co.in/products/salted-caramel-with-nut-praline,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/19.png?v=1757736316,Coffee
Seeds Bagels - Pack of 3,Coffee Mechanics,150.0,,,,,,"Boiled and baked the traditional way: Chewy, Dense, and Perfect with cream cheese.",https://www.coffeemechanics.co.in/products/seeds-bagels,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/2_df74948b-789c-4018-a30c-257e7183ab24.png?v=1757660348,Coffee
The Luxe Box,Coffee Mechanics,2299.0,,,,,,"For those who savour the finer things — this premium curation brings together bold coffee, gourmet snacks, and pantry favourites in a sleek  Coffee Mechanics Black Box . 
  What’s Inside:  
 
 
  Barrel Aged Coffee (200g)  – Aged in oak barrels for deep, complex notes 
 
 
  Classic Granola  – Lightly sweet with oats, fruit &amp; seeds 
 
 
  Pepper Smoked Almonds  – Bold, spiced, and slow-roasted 
 
 
  Chilli Caramel Cashews  – Glazed with caramel &amp; a kick of chilli 
 
 
  Sesame Crackers  – Crisp, savoury, and nutty 
 
 
  Pistachio Biscotti  – Crunchy, elegant, and balanced 
 
 
 ✅ Vegetarian-friendly ✅ Small-batch &amp; clean-label ✅ Packed fresh in our  custom black gift box  
 Perfect for luxury gifting, celebrations, or as a statement hamper for clients and connoisseurs alike.",https://www.coffeemechanics.co.in/products/the-luxe-box,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/5.svg?v=1759756135,Coffee
The Signature Experience Box,Coffee Mechanics,2899.0,,,,,,"Coffee. Crunch. Comfort — Curated in Our Black Gift Box  
 A versatile curation designed for every kind of moment — from quiet mornings to celebratory gifting. 
  The Signature Experience Box  brings together small-batch coffee, handcrafted bites, and pantry staples — all packed in our  custom Coffee Mechanics Black Box . 
  What’s Inside:  
 
 
  Single Estate Coffee (200g)  – Shade-grown, roasted in small batches 
 
 
  Drip-To-Go Coffee Bags (5 pcs)  – Brew anywhere, no equipment needed 
 
 
  Granola – Classic  – Lightly sweet with oats, fruit &amp; seeds 
 
 
  Butter Cookies  – Golden, rich, and melt-in-mouth 
 
 
  Chilli Caramel Cashews  – Spiced and glazed to perfection 
 
 
  Sesame Crackers  – Crisp, savoury, nutty 
 
 
  Pistachio Biscotti  – Crunchy, elegant, tea-time favourite 
 
 
 ✅ Vegetarian-friendly ✅ Travel &amp; pantry ready ✅ Designed for corporate, festive &amp; everyday gifting 
 For those who love coffee. And a little something with it.",https://www.coffeemechanics.co.in/products/the-signature-experience-box,https://cdn.shopify.com/s/files/1/0368/6740/8003/files/6.svg?v=1759756351,Coffee
