Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
nan,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
SHILLONG SPICE RUSH  NATURALS,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
fromRs. 699.00Rs. 950.00,Fraction9,Rs. 699.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/shillong-spice-rush-naturals
nan,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
Cuvée BrandyLime  Kalyancool,Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
"fromRs. 879.00Rs. 1,150.00",Fraction9,Rs. 879.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cuvee-brandylime
nan,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
GOLDEN MIRAGE  NATURALS BY KALYANCOOL ESTATE,Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
"fromRs. 735.00Rs. 1,000.00",Fraction9,Rs. 735.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/golden-mirage-naturals-by-kalyancool-estate
nan,Fraction9,Rs. 435.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/everyday-gold-affordable-premium
Everyday Gold – Affordable Value | Auto Discounted | No Codes,Fraction9,Rs. 435.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/everyday-gold-affordable-premium
fromRs. 435.00Rs. 600.00,Fraction9,Rs. 435.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/everyday-gold-affordable-premium
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/christmas-roast
Christmas Roast,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/christmas-roast
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/christmas-roast
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-vanilla-coffee
Vanilla Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-vanilla-coffee
fromRs. 619.00Rs. 700.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-vanilla-coffee
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/hazelnut
Hazelnut Coffee  Mocha,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/hazelnut
fromRs. 619.00Rs. 700.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/hazelnut
nan,Fraction9,Rs. 449.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/kaapi
Kaapi,Fraction9,Rs. 449.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/kaapi
fromRs. 449.00Rs. 500.00,Fraction9,Rs. 449.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/kaapi
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cappuccino-blend
Cappuccino Blend,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cappuccino-blend
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cappuccino-blend
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/breakfast-roast-coffee-powder
Breakfast Roast Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/breakfast-roast-coffee-powder
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/breakfast-roast-coffee-powder
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/vienna-roast-coffee-powder
Vienna Roast Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/vienna-roast-coffee-powder
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/vienna-roast-coffee-powder
nan,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/prabal
PRABAL,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/prabal
fromRs. 529.00Rs. 650.00,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/prabal
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-roast-coffee
French Roast Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-roast-coffee
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/french-roast-coffee
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cinnamon-roast-coffee-powder
Sweet Roast Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cinnamon-roast-coffee-powder
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/cinnamon-roast-coffee-powder
nan,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/madhura
MADHURA,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/madhura
fromRs. 529.00Rs. 650.00,Fraction9,Rs. 529.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/madhura
nan,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/traditional-blend
Traditional Blend Coffee,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/traditional-blend
fromRs. 619.00Rs. 770.00,Fraction9,Rs. 619.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/traditional-blend
nan,Fraction9,Rs. 515.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-extreme-strong-blend
Desi 'Extreme Strong' Blend,Fraction9,Rs. 515.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-extreme-strong-blend
fromRs. 515.00Rs. 600.00,Fraction9,Rs. 515.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-extreme-strong-blend
nan,Fraction9,Rs. 535.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-rich-taste-blend
Desi 'Rich Taste' Blend,Fraction9,Rs. 535.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-rich-taste-blend
fromRs. 535.00Rs. 600.00,Fraction9,Rs. 535.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/desi-rich-taste-blend
nan,Fraction9,Rs. 899.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sample-coffee-box
Sampler Box (75gm * 6 variants),Fraction9,Rs. 899.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sample-coffee-box
Rs. 899.00Rs. 995.00,Fraction9,Rs. 899.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sample-coffee-box
nan,Fraction9,Rs. 949.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sampler-box-75gm-6-variants-copy
Microlot 75 g X 4 Sampler box ( Temporary Product ),Fraction9,Rs. 949.00,,,,,https://www.fraction9coffee.com/collections/coffee/products/sampler-box-75gm-6-variants-copy
