roaster,name,price,currency,description,product_url,image_url,variants
NinetyTwo,NinetyTwo Pocket Pour,₹580.0,INR,"Our single-serve drip bags let you enjoy the full NinetyTwo experience wherever you are. Just add hot water to unlock bold flavour, rich aroma and the quiet ritual of a truly balanced brew.",https://ninetytwobrew.com/products/ninetytwo-pocket-pour,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Untitleddesign_16.png?v=1764958360,
NinetyTwo,100% Specialty Robusta,₹600.0,INR,"A bold Peridinia grown at 800 m in Coorg’s fertile terrain, absorbing the richness from wild fig, silver oak and native shrubs. Expect a naturally intense, high caffeine brew with juicy stone fruit notes.",https://ninetytwobrew.com/products/100-specialty-robusta,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset_11marketing_1.png?v=1761831984,Whole Beans:600.00; Aeropress:600.00; Cold Brew:600.00; Home Espresso:600.00; Commercial Espresso:600.00; Pour Over:600.00; French Press:600.00; Mokapot:600.00
NinetyTwo,100% Specialty Excelsa,₹799.0,INR,"A rare, resilient bean grown in select South Indian microclimates, hand picked and anaerobically processed for a complex, fruit forward cup. Expect a bold brew with notes of figs, grapes and almonds.",https://ninetytwobrew.com/products/100-specialty-excelsa,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset_12marketing_1.png?v=1761831986,Whole Beans:799.00; Aeropress:799.00; Cold Brew:799.00; Home Espresso:799.00; Commercial Espresso:799.00; Pour Over:799.00; French Press:799.00; Mokapot:799.00
NinetyTwo,100% Specialty Arabica,₹650.0,INR,"Smooth, naturally sweet Arabica with notes of caramel, butterscotch, roasted nuts and a bright plum-like finish. Grown in Coorg and finished with an anaerobic red-honey process for a cleaner, more layered cup.",https://ninetytwobrew.com/products/100-specialty-arabica,https://cdn.shopify.com/s/files/1/0772/1094/3511/files/Asset10marketing_1.png?v=1761587412,Whole Beans:650.00; Aeropress:650.00; Cold Brew:650.00; Home Espresso:650.00; Commercial Espresso:650.00; Pour Over:650.00; French Press:650.00; Mokapot:650.00
