roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Half Light,Banana Kents by Balanoor Plantation,Rs. 720.00,INR,"Location – Chikmagalur, Karnataka    Altitude – 1200 Masl    Varietal – Kents    Process – PSD    Cup Notes – Jaggery Bites, Plum, Cocoa    Roast Profile – Medium   Net wt. - 250 g | 8.8 oz   Merthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur, Karnataka. The estate is part of Balanoor Plantations which is run by Mr Ashok Kuriyan and his son Mr Rohan Kuriyan. Arabicas (rain forest certified) are grown under the shade of tress like, Silver Oaks, Dadaps and various jungle woods. Special attention is paid to every aspect of picking, pulping, fermenting, washing, drying and curing. The practice of sustainability and environmental responsibility is the heart of the farm.   About the Process-   The Kents banana leaf psd is a special coffee for us as it's one of the first experiments we did last year which succeeded. The coffee is carefully harvested to ensure only the best cherry is taken for this nano lot. The cherries are pulped trying to retain as much mucilage on the bean before it is dried on the raised beds under fresh banana leaves. The coffee is raked frequently and the leaves changed when it dries. The pulp and the banana leaf give these coffees it's sweet cupping notes.
[Meta Description]: Location – Chikmagalur, KarnatakaAltitude – 1200 MaslVarietal – KentsProcess – PSDCup Notes – Jaggery Bites, Plum, CocoaRoast Profile – MediumNet wt. - 250 g | 8.8 ozMerthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur, Karnataka. The estate is part of Balanoor Pla",https://halflightcoffee.com/products/banana-kents,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/BK.jpg?v=1756113968,Pour Over-V60:720.00,
Half Light,Daily Drip Coffee Bags (Pack of 7),Rs. 400.00,INR,"Brew Indian Specialty Coffee anywhere, anytime, no equipment needed. These on-the-go  Daily Drip  coffee bags are designed for effortless brewing on the go. Perfect for those who crave good coffee on busy mornings or weekend getaways. 
  7 individually packed, nitrogen flushed coffee drip bags in 1 box.  
   
  Net wt. : 7 bags x 12 g (84 g)
[Meta Description]: Brew Indian Specialty Coffee anywhere, anytime, no equipment needed. These on-the-go Daily Drip coffee bags are designed for effortless brewing on the go. Perfect for those who crave good coffee on busy mornings or weekend getaways. 7 individually packed, nitrogen flushed coffee drip bags in 1 box. Net wt.: 7 bags x 12",https://halflightcoffee.com/products/daily-drip-coffee-bags-pack-of-7,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/DD2.jpg?v=1754460774,1 Box:400.00; 2 Box:770.00,
Half Light,MS Estate,Rs. 600.00,INR,"Location – Chikmagalur, Karnataka  
  Altitude – 1000-1400 mt. Masl  
  Varietal – SLN 795 HG  
  Process – Washed  
  Cup Notes – Berries, Peach and Walnut  
  Roast Profile – Medium, Medium-Dark (Espresso)   Net wt. - 250 g | 8.8 oz   
  Merthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur, Karnataka. The estate is part of Balanoor Plantations which is run by Mr Ashok Kuriyan and his son Mr Rohan Kuriyan. Arabicas (rain forest certified) are grown under the shade of tress like, Silver Oaks, Dadaps and various jungle woods. Special attention is paid to every aspect of picking, pulping, fermenting, washing, drying and curing. The practice of sustainability and environmental responsibility is the heart of the farm.
[Meta Description]: Location – Chikmagalur, Karnataka Altitude – 1000-1400 mt. Masl Varietal – SLN 795 HG Process – Washed Cup Notes – Berries, Peach and Walnut Roast Profile – Medium, Medium-Dark (Espresso)Net wt. - 250 g | 8.8 oz Merthi Subbangudigy Estate (MS Estate) is located in the Sahyadari ranges of the Western Ghats, Chikmagalur,",https://halflightcoffee.com/products/ms-estate,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/MS.jpg?v=1756113968,Pour Over-V60:600.00,
Half Light,Salawara Naturals #02,Rs. 700.00,INR,"Location – Belur, Karnataka    Altitude – 1035 Masl    Varietal – Chandragiri, SLN 795    Process – Anaerobic Natural Yeast | 72 hours fermented    Cup Notes – Strawberry, Apricot    Roast Profile – Light      Net wt. - 250 g | 8.8 oz   
 Introducing latest coffee release from  Salawara Estate , located in the lush Western Ghats of India. Established in the late 1880s, this 145-hectare estate has been producing high-quality coffee for generations. 
 Intercropped with pepper, Areca nut, oranges, and silver oak, Salawara’s coffee offers a unique balance of flavours, earning the Best Quality Bean Award from Ernesto Illy in 2018. ""Salawara,"" meaning ""a string of blessings,"" captures the rich tradition and passion behind this  exceptional Indian specialty coffee .
[Meta Description]: Location – Belur, KarnatakaAltitude – 1035 MaslVarietal – Chandragiri, SLN 795Process – Anaerobic Natural Yeast | 72 hours fermentedCup Notes – Strawberry, ApricotRoast Profile – Light Net wt. - 250 g | 8.8 oz Introducing latest coffee release from Salawara Estate, located in the lush Western Ghats of India. Establishe",https://halflightcoffee.com/products/salawara-naturals-02,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/N02.jpg?v=1756114049,Pour Over-V60:700.00,
Half Light,Tripura Hills,Rs. 670.00,INR,"Location – Jampui Hills, Tripura    Altitude – 800 - 950 Masl    Varietal – SLN 5B    Process – Traditional Naturals    Cup Notes – White Chocolate, Caramel, Toasted Nuts    Roast Profile – Light - Medium     Net wt. - 250 g | 8.8 oz  
 Our latest release from Tripura comes from the serene slopes of the Jampui Hills, grown at elevations of 800–950 MASL. This coffee is produced by a  farmer’s collective  working closely with  Waribok Daribok , focusing on consistency, transparency, and flavour-forward processing. 
 A traditional naturals, roasted light–medium at Half Light, Tripura Hills opens up with comforting sweetness and rounded depth. Expect white chocolate, caramel and toasted nuts, making it an  easy-drinking cup with a gentle, lingering finish . This year’s Tripura Hills is all about balance - approachable, expressive, and yet quietly complex.
[Meta Description]: Location – Jampui Hills, TripuraAltitude – 800 - 950 MaslVarietal – SLN 5BProcess – Traditional NaturalsCup Notes – White Chocolate, Caramel, Toasted NutsRoast Profile – Light - Medium Net wt. - 250 g | 8.8 oz Our latest release from Tripura comes from the serene slopes of the Jampui Hills, grown at elevations of 800–9",https://halflightcoffee.com/products/tripura-hills,https://cdn.shopify.com/s/files/1/0575/8976/0188/files/TripuraHills.jpg?v=1766566178,Pour Over-V60:670.00,
