roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Savorworks,Red Globe - Grape Maceration Coffee,Rs. 1050.00,INR,"Red Globe Coffee – Limited Release  
 Celebrate six years of Savorworks’ craftsmanship with our exclusive Red Globe Coffee. A limited edition release crafted for specialty coffee enthusiasts. This exquisite brew features the unparalleled SLN9 varietal, developed through a meticulous 90-hour fermentation process. By combining the natural sugars of coffee cherries and grapes with wild yeast, we’ve created a vibrant, layered flavor profile that's truly unique. 
 At the Riverdale Estate from Yercaud in Tamil Nadu, each step is expertly monitored, ensuring flawless temperature and pH consistency. The grape infusion introduces sharp vibrancy, enhancing the natural sweetness and creating juicy, wine-like notes that surprise and delight with every sip. Post-fermentation, cherries are sun-dried for 25 to 30 days, stabilizing flavors to perfection. The result is an exceptional cup with elegant acidity and a long, lingering finish. 
 Lovingly roasted by our head roaster, Baninder Singh, this blend reflects his relentless commitment to quality and excellence. Don’t miss this unique offer, a small-batch roasted in New Delhi, available for a limited time only. Perfect for home brewers seeking an extraordinary coffee experience. 
  Facts:  
 Origin : Riverdale Estate 
 Altitude : 1450 MASL 
 Varietal - SLN 9 
 Process- Grape Maceration 
  Feels:  
 Tasting Notes: Red Grape, Red Cherry, Gooseberry, Sun Dried Banana 
 Acidity: Malic 
 Body: Medium 
 Aftertaste:  Long 
  Roast Rite Color ( Whole Bean) : 74  
  Roast Rite Color ( Ground) : 91  
  Roast Level : Medium
[Meta Description]: Discover the vibrant and expressive Red Globe Coffee from Savorworks from New Delhi. With unique flavors of Red Grape, Red Cherry, Goose Berry, and Sun Dried Banana, this limited-edition brew offers winey notes, malic acidity, and a medium body, perfect for specialty coffee enthusiasts. Celebrate 6 years of craftsmanship with each sip.",https://www.savorworksroasters.com/products/red-globe-grape-maceration-coffee,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/RedGlobe3.jpg?v=1778161658,250 gms:1050.00,
Savorworks,Godfather - Indian grown Brown Tip Panama Geisha,Rs. 2700.00,INR,"Introducing our Indian-grown Brown Tip Panama Geisha Coffee, a limited-release 'Godfather.' This coffee showcases sensory intensity and complex character, inviting you to enjoy rich flavors with every sip. The name 'Godfather' reflects the deep connection to the coffee journey, embodying the artistry and passion of its creation. Each batch is expertly profiled and roasted by our master roaster, Mr. Baninder Kochar.    Roasted to a medium-light profile, this Geisha Coffee features tasting notes of lemongrass, fresh strawberries, red grapes, passionfruit, kiwi, and tropical orchid flowers. Each sip offers a unique exploration of these vibrant flavors.    Cultivated at Riverdale Estate, the sun-grown Geisha coffee thrives at 1500 MASL, benefiting from abundant sunlight for optimal ripening. Our commitment to sourcing the finest ingredients and employing traditional techniques shines through in every cup. Each bean is hand-picked, ensuring only the ripest cherries make it to your brew.    Celebrate the journey of Geisha Coffee, a proud example of Indian craftsmanship. Every cup represents the hard work of cultivating, sourcing, and roasting this exceptional coffee, emphasizing its 100% Indian heritage. Experience the warmth of community and savor the artistry of India's coffee growers and roasters. Visit our website to reserve your bag or join us on Republic Day, January 26th, as we feature Geisha in our Hot Pour-Over menu, celebrating our nation's diversity and unity through exceptional coffee. We look forward to brewing with you!  
   Facts:   Estate: Riverdale Process: Carbonic Maceration Varietal: Brown Tip - Panama Geisha Altitude: 1500 MASL    Feels:   Tasting Notes: Nectar, Jasmine, Mulberry Jam, Mango, Dried Fig Acidity: Malic and super juicy Body: Medium Aftertaste: Very long 
 Size- 250 gms 
  Roast Rite Color ( Whole Bean) : 74  
  Roast Rite Color ( Ground): 91  
  Roast Level- Medium Light
[Meta Description]: Discover our limited-release Indian-grown Brown Tip Panama Geisha Coffee, showcasing rich flavors, sensory intensity, and exquisite craftsmanship in every cup.",https://www.savorworksroasters.com/products/godfather-brown-tip-panama-geisha,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Godfather2026_01.pdf.jpg?v=1775192488,250 gms:2700.00,
Savorworks,Phenom - Champagne Fermentation,Rs. 1050.00,INR,"Exclusively sourced from our beloved Riverdale Estate from Yercaud in Tamil Nadu, 'Phenom' coffee is crafted from ripened cherries that boast 25+ brix. This exceptional coffee showcases the artistry of our roasting expertise, revealing captivating tasting notes of Snake-Fruit, Bergamot, Red Currant, Washington Apple. Profiled and roasted with precision by our head roaster, Mr. Baninder Singh, each cup invites you to experience a delightful exploration of vibrant flavors that invigorate your palate.  
  These cherries undergo a meticulous process where they are cleaned and washed with spring water, then fermented with Italian champagne yeast for 84 hours. This unique fermentation technique enhances the coffee's bright acidity and medium-heavy body, making it a truly remarkable offering.  
  You can’t miss your chance to experience this limited-edition coffee, a true testament to the artistry of Indian craftsmanship.   
  Facts:  
 Origin : Riverdale Estate 
 Altitude : 1000 MASL 
 Varietal - SLN 9 &amp; SLN 5B 
 Process- Champagne Fermentation 
  Feels:  
 Tasting Notes: Snake-Fruit, Bergamot, Red Currant, Washington Apple. 
 Acidity: Citric 
 Body: Medium 
 Aftertaste:  Very Long 
   
  Roast Rite Color ( Whole Bean) : 72  
  Roast Rite Color ( Ground) : 89  
  Roast Level : Light - Medium - Light
[Meta Description]: Exclusively sourced from our beloved Riverdale Estate from Yercaud in Tamil Nadu, 'Phenom' coffee is crafted from ripened cherries that boast 25+ brix. This exceptional coffee showcases the artistry of our roasting expertise, revealing captivating tasting notes of Snake-Fruit, Bergamot, Red Currant, Washington Apple. P",https://www.savorworksroasters.com/products/phenom,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/PHENOM_2026_Canva.jpg?v=1773045284,250 g:1050.00; 1 kg:3600.00,
Savorworks,Vienna - Dark Roast,Rs. 630.00,INR,"The darkest roast from us , this blend has coffee beans from Karnataka and Tamil Nadu, has high body, low acidity, and is a excellent choice for people who want to have  a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk.  
  The beans have been roasted to the higher side of medium to bring out the notes of roasted hazelnut, dark chocolate, and Raisin. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   
   Facts:    
   Origin:   Riverdale Estate   Altitude:   1450 MASL    Varietal :   SLN-9 &amp; SLN-795     Process:   Mixed Fruit Fermented Naturals   
    Feels:    Tasting Notes:  Roasted Hazelnut, Dark Chocolate, Raisin  Acidity:  Low  Body:   High  Aftertaste:   Long  
   Roast Rite Color (Whole Bean):  57  Roast Rite Color (Ground):  65  Roast Level:  Dark  
  FREE SHIPPING PAN India on ALL Coffee.
[Meta Description]: The darkest roast from us , this blend has coffee beans from Karnataka and Tamil Nadu, has high body, low acidity, and is a excellent choice for people who want to have  a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk.  The beans have been roasted to the higher side o",https://www.savorworksroasters.com/products/vienna-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Web_products_3.png?v=1727790171,250 g:630.00; 1 kg:2100.00,
Savorworks,Riverdale - Medium to Dark Roast,Rs. 630.00,INR,"We are thrilled to announce that the new harvest of Riverdale coffee beans has finally arrived, and it's time to savor the rich flavors that await you. Riverdale Estate holds a special place in our hearts as it marks the very beginning of Savorworks. It is where our journey began, and it's an honor to bring you the fruits of our labor from this remarkable farm. The washed coffee from Riverdale Estate is where we started the Savorworks journey. 
  The beans have been roasted to the higher side of medium to bring out the notes of Nougat, Fig, Toffee, and Dark Chocolate. This one is perfect for Espresso-based drinks, French Press, and other immersion brews.   Feels:    Tasting Notes:  Fig ,Nougat, Toffee, Dark Chocolate  Acidity:  Citric  Body:  Heavy  Aftertaste:  Syrupy   
   Facts:    
   Roast Rite Color (Whole Bean):  59  Roast Rite Color (Ground):  66  Roast Level:  Medium Dark  
  FREE SHIPPING PAN India on ALL Coffee.
[Meta Description]: We are thrilled to announce that the new harvest of Riverdale coffee beans has finally arrived, and it's time to savor the rich flavors that await you. Riverdale Estate holds a special place in our hearts as it marks the very beginning of Savorworks. It is where our journey began, and it's an honor to bring you the fru",https://www.savorworksroasters.com/products/riverdale-medium-dark-roast,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Riverdale2025.png?v=1746438636,250 g:630.00; 1 kg:2100.00,
Savorworks,Boss's Wife - House Blend,Rs. 630.00,INR,"Introducing Savorworks's House Blend: crafted with love, humor, and admiration for the women who keep everything running smoothly and beautifully impressive.  
 It all started with a charming moment when the founders were dating, one asked, “If you were a coffee, what would you be?”. She said, “An espresso because it’s sweet, blends effortlessly with everyone."" 
 Inspired by her beautiful answer and appreciating the woman of the house, this flagship blend has been everyone’s favorite since 2020. Crafted to charm the sensory journey of rich, complex, sweet, and versatile. Whether you prefer a strong, flavorful black coffee or a creamy, bold, and balanced latte that’s never overshadowed by the milk and leaving a long-lasting aftertaste. It’s the perfect specialty coffee for every occasion and method.  
 Taste Savorworks specialty coffee blend and celebrate the incredible women who make every house and organization extraordinary. Named after the true boss (Boss's Wife), the woman who makes everything just right. This is a toast to women out there. 
   
  Blend:  Washed and Anaerobic Black Honey 
  Estate:  Ratnagiri Estate &amp; Riverdale Estate 
  Tasting Notes : Peach, Jaggery, Roasted Almond, Dark Chocolate 
    Roast Level : Medium 
  FREE SHIPPING PAN India on ALL Coffee.
[Meta Description]: Discover Savorworks House Blend. Rich, versatile, and crafted to honor women who make everything perfect. Inspired by a special moment, this flagship blend has been a favorite since 2019. Whether you prefer a bold black coffee or a creamy latte, it’s designed for every brew and occasion. Celebrate the incredible women behind every home and organization with this limited-edition coffee, crafted with love and admiration. Experience the magic, savor the flavor, and toast to the true boss, the woman who makes everything just right.",https://www.savorworksroasters.com/products/bosss-wife-house-blend,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/BossWife2025.png?v=1746436071,250 g:630.00; 1 kg:2100.00,
Savorworks,Coffee Drip Kit - Nutty & Chocolaty,Rs. 375.00,INR,"Introducing the Savorworks Coffee Drip Kit —expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights nutty undertones and luscious chocolatey notes, all without the need for sugar. For those who prefer a creamier texture, it’s also delightful with a pour of milk. 
 This innovative drip kit features specialty Arabica coffee sourced from the renowned Riverdale Estate, roasted and ground to perfection. Enjoy the same remarkable quality as manual pour-over brewing, but with added convenience—no kettles, thermometers, grinders, or scales required. Simply unfold the filter, pour hot water, and savor a beautifully classic black coffee in just a few minutes. 
 Features: 
 
 
 Premium Ingredients:    100% Specialty Arabica Coffee, nitrogen-flushed to lock in freshness. 
 
 Origin:    Sourced from the esteemed Riverdale Estate. 
 
 Roast Profile:    Medium dark roast for a rich, robust flavor with nutty undertones and luscious chocolatey notes. 
 
 Versatile Enjoyment:    Perfect as a black coffee or with a splash of milk for added creaminess. 
 
 Convenient Packaging:    Each kit includes 5 individual 12g servings (60g total), perfect for on-the-go brewing. 
 
 Storage Tips:    Preserve freshness by storing in a cool, dry, and dark place. 
 
 Unlock the world of flavorful black coffee with the Savorworks Coffee Drip Kit—your gateway to an enjoyable and rich coffee journey wherever life takes you. Perfect for any setting, this kit ensures that you can appreciate the craft of coffee making effortlessly. Enjoy your coffee, your way!
[Meta Description]: Introducing the Savorworks Coffee Drip Kit—expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights nutty undertones and luscious chocolatey notes, ",https://www.savorworksroasters.com/products/coffee-drip-kit-nutty-chocolaty-5-sachets,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Savorworks_05158.jpg?v=1730292350,:375.00,
Savorworks,Coffee Drip Kit - Fruity and Well Balanced,Rs. 375.00,INR,"Introducing the Savorworks Coffee Drip Kit —expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights fruity nuances and rich aromas, all without the need for sugar. 
 This innovative drip kit features specialty Arabica coffee sourced from the esteemed Ratnagiri Estate, roasted and ground to perfection. Enjoy the same remarkable quality as manual pour-over brewing, but with added convenience—no kettles, thermometers, grinders, or scales required. Simply unfold the filter, pour hot water, and savor a beautifully balanced cup of coffee in just a few minutes. 
 Features: 
 
 
 Premium Ingredients:    100% Specialty Arabica Coffee, nitrogen-flushed to lock in freshness. 
 
 Origin:    Sourced from the prestigious Ratnagiri Estate. 
 
 Roast Profile:    Medium roast for a balanced and versatile taste. 
 
 Convenient Packaging:    Each kit includes 5 individual 12g servings (60g total), perfect for on-the-go brewing. 
 
 Storage Tips:    Preserve freshness by storing in a cool, dry, and dark place. 
 
 Unlock the world of flavorful black coffee with the Savorworks Coffee Drip Kit—your gateway to an enjoyable and rich coffee journey wherever life takes you. Perfect for any setting, this kit ensures that you can appreciate the craft of coffee making effortlessly. Enjoy your coffee, your way!
[Meta Description]: Introducing the Savorworks Coffee Drip Kit—expertly crafted for both coffee enthusiasts and first-time black coffee explorers who crave authentic, natural flavors from an excellent brew. Say goodbye to bitterness and embrace a delightful coffee experience that highlights fruity nuances and rich aromas, all without the ",https://www.savorworksroasters.com/products/coffee-drip-kit-fruity-and-well-balanced,https://cdn.shopify.com/s/files/1/0596/9998/6569/files/Savorworks_05152.jpg?v=1730291133,:375.00,
